날짜,도시,주요 일정,세부 일정,관람 포인트,이동 방법,숙소,금액(현대카드-국민은행),도시세(유로),조식 여부,,비고
2026. 8. 6(목),인천 T2(10:45) → 프라하 T1(16:45),"오후 도착, 구시가지 산책, 카를교 야경","저녁: 꼴레뇨(Ribs of Prague)
야경 구경: ",,아시아나 항공,엠버서더 즐라타 후사(8.2. 일시불-환불불가),330000,10,O,,"공항에 기차역이 없음.
볼트를 가장 많이 추천함(볼트 앱 깔았고, 트래블 월렛 카드랑 연동해야함)."
2026. 8. 7(금),프라하,"프라하성, 성 비투스 대성당, 구시가지 광장","아침:조식
점심:
저녁: 재즈바",,숙소<->역 12분(도보),,,,,,
2026. 8. 8(토),프라하 → 잘츠부르크,"프라하→잘츠부르크 이동, 구시가지","아침: 조식 및 도시락(먹을거리 챙기기?)
국가이동
게트라이데거리(모차르트생가), 발칸그릴월터핫도그먹기
20:30~22:30 부다페스트 오케스트라 연주(at  Felsenreitschule)-pdf e티켓 준비",헬브룬궁전 안가도 됨.,"10:21~15:49, -> 8:21 출발 고려
프라하~린츠 대체버스이용, 
좌석미지정",오스트리아 H+ 호텔(3월부터 3개월-환불불가),629242,14.22,X,,"프라하 to 잘츠부르크 행 기차 시간이 변동됨.
기존 표로 다른 시간대 탈 수 있으니, 잘 생각해서 타기
지금 생각으로는 8:21 출발행을 타면 가장빠르게 잘츠 도착가능(그러나 환승이 버스 포함 3번...)"
2026. 8. 9(일),잘츠부르크 → 할슈타트 → 잘츠부르크,"호엔잘츠부르크 성, 고사우제
묀히스부르크 전망대(야경)/카푸치너베르크(전망)","아침 거리 준비해야함

저녁식사: 트리앙얼/야외맥줏집Augustinerbräu Salzburg",,"버스, 할슈타트 페리 4유로(현금)",,,,,,"호텔에서 게스트 모빌리티 티켓 발급 받아야 할슈타트 가는 버스 공짜로 탑승 가능, 150번 버스보다 150x번 버스가 훨씬 빠름"
2026. 8. 10(월),잘츠부르크 → 인스부르크,"미라벨궁?
잘츠부르크→인스부르크 이동(점심 먹고 이동) ","아침에 브런치먹으러가기, 녹케를",미라벨궁의 대리석 홀 보기(8:00~16:00),"11:56~14:11
Salzburg Hbf to Innsbruck Hbf
편명: RJX19952
좌석 지정완료(복도측 64번, 창가측 66번)",호텔 골든 크로네 인스부르크(3월 일시불-환불불가),407088,16,O,,
2026. 8. 11(화),인스부르크,"노르트케테 케이블카, 알프스 전망",,,,,,,,,
2026. 8. 12(수),인스부르크 → 빈,인스부르크→빈 이동 ,"슈테판대성당, 거리 탐방","슈테판대성당: 12C 중엽 로마네스크 양식으로 건설됨. 14C에 고딕양식으로 개축됨.137m높이의 첨탑. 거인의 문, 이교도의 탑, 건물 내부의 대리석강론대, 계단 아래 창문을 열고 보는 조각가의 모습(내부모습 지도 있으면 좋겠음)
그라벤: 도자기 회사 아우가르텐, 궁정 보석상인 헬트바인 상점 있고 H&M플래그십스토어가 궁정의류회사 브라운앤코의 건물에 있으니 둘러볼 것.페스트기념탑있음.
성베드로성당 15:00 오르간연주 듣기
슈테판광장 북쪽:빈의 옜모습, 중세 돌바닥,
암호프쪽: 귀족들이 머물던 곳, 카페 첸트랄이 있음(팔레 페르스텔)","08:48~13:32
Innsbruck Hbf to Wien Hbf 
편명: RJX19983",레오나르도 호텔 비엔나 하우프트반호프,"345,784",도시세 포함,X,,
2026. 8. 13(목),빈,"쉔브룬 궁전, 호프부르크, 벨베데레 궁전","9:00 오픈 벨베데레 상궁, 하궁 
         자연사 박물관(더운 낮에 가기) 
15:00 성베드로성당 무료 오르간연주 감상",,,(3월부터 3개월 할부)-무료취소 가능,,,,,
2026. 8. 14(금),빈 → 부다페스트(Budapest-Keleti),"빈→부다페스트 이동, 
중앙재래시장즐기기
어부의 요새, 겔레르트 언덕","저녁식사: 포르투너거리

어부의 요새 야경","어부의 요새: 로마네스크양식의 요새, 1896년 헝가리 건국 천년을 기념하는 건축물, 언덕의 시장을 지킨 어부 조합에서 유래된 이름","09:42~12:35
Wien Hbf to Budapest-Keleti
편명: RJX19929
좌석 지정완료(복도측 38번, 창가측 32번)",부티크 빅토리아(3월부터 3개월-환불불가),265358,도시세포함,O,,기존의  RJX19929 기차가 09:40~12:19였는데 시간 바뀜
2026. 8. 15(토),부다페스트,,"아침 조식 먹기, 숙소 이동
겔레르트언덕작은 등산(파노라마전망)
도나우강변 구경",갤레르트언덕 가는법: 에르제베트다리에서 언덕을따라 20분 걷기,,아난타라 뉴욕 호텔(3월부터 3개월),575048,15,O,,
2026. 8. 16(일),부다페스트 T2B(20:00) → 인천 T2(17일 13:35),귀국,,,아시아나 항공,,,,,,미니부드 에어포트셔틀(앱miniBUD)-호텔픽업해줌/ 또는 호텔에서 무료 서비스 해주려나?아난타라에 물어보기
,,,,,,,,,,,
,잘츠부르크 참고 블로그 : https://blog.naver.com/wonravel/224015010302,,,,,,,,,,
